frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
325,10795.3,9,35,554,2.834436278,44.86507709,19.01220281,-0.809029907,24.24665055,-48.4933011,,,,,,,,,
326,10831.2,10,44,554,3.563291321,44.86507709,25.50942707,-0.401475924,88.40518438,-24.30737042,,,,,,,,,
327,10863,10,52,552,4.21116247,44.7031093,22.15397951,-2.028474023,86.48025249,24.30679324,,,,,,,,,
328,10895.4,9,60,550,4.859033619,44.54114151,26.37066667,-1.614820454,122.7756045,32.39358986,,,,,,,,,
329,10931.3,9,81,552,6.559695386,44.7031093,25.11866798,-1.214567835,-96.21255886,8.061777782,,,,,,,,,
330,10963.8,13,85,551,6.883630961,44.62212541,28.34144761,-0.809109037,36.28697184,-0.113043526,,,,,,,,,
331,10995.1,11,100,550,8.098389366,44.54114151,30.78415168,-0.402497218,-34.2402984,-8.074166865,,,,,,,,,
332,11030.9,11,106,551,8.584292728,44.62212541,27.41500585,-2.40826066,142.3237611,-32.03151323,,,,,,,,,
333,11063.2,14,122,550,9.880035026,44.54114151,32.09120127,-1.621309402,39.16078781,-16.22901614,,,,,,,,,
334,11095.4,14,136,549,11.01380954,44.46015762,31.96825161,-0.809036366,57.85146344,-0.0322967,,,,,,,,,
335,11131.6,14,149,546,12.06660016,44.21720594,35.62863008,-0.767431231,20.80680954,64.61998253,,,,,,,,,
336,11163.1,14,164,547,13.28135856,44.29818983,36.07390658,0,40.57305236,48.68766283,,,,,,,,,
337,11195.3,14,179,548,14.49611696,44.37917372,37.65191699,-0.809840556,55.93563129,0.016196795,,,,,,,,,
338,11231,14,194,549,15.71087537,44.46015762,40.23364953,0.00979632,71.84951746,-48.98160123,,,,,,,,,
339,11263,15,211,550,17.08760156,44.54114151,41.10714062,-0.37520659,60.19239383,-56.19930628,,,,,,,,,
340,11295.4,16,229,547,18.54531165,44.29818983,43.1136712,-2.007149013,53.19032695,-23.93844367,,,,,,,,,
341,11330.8,15,248,546,20.08400563,44.21720594,46.15147057,-2.026233223,46.7440904,8.179405977,,,,,,,,,
342,11363.9,15,266,546,21.54171571,44.21720594,47.35231865,-2.4140382,63.59706175,15.78639033,,,,,,,,,
343,11396.2,16,286,543,23.16139359,43.97425426,47.35121968,-1.207902747,30.88801596,39.79650449,,,,,,,,,
344,11431,15,308,544,24.94303925,44.05523815,49.27620139,-1.212132588,15.62578622,8.070107697,,,,,,,,,
