frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
46,1544.4,17,617,589,43.69317115,41.7103368,-0.354077562,-0.354077562,-7.081551239,-7.081551239,14,95,65,6.727473677,4.603008305,0,0.708155124,0,0,,,,,,,,,,17,217,116,15.36696619,8.214599437,0,0.354077562,-14.16310248,-7.081551239
47,1580.3,17,617,589,43.69317115,41.7103368,0,-0.354077562,0,-7.081551239,14,95,66,6.727473677,4.673823818,1.416310248,1.77038781,28.32620496,21.24465372,,,,,,,,,,17,216,116,15.29615068,8.214599437,0,0,14.16310248,0
48,1612.4,17,617,589,43.69317115,41.7103368,0,0,0,0,14,95,65,6.727473677,4.603008305,3.853523259,4.188653302,78.72366208,100.3472662,,,,,,,,,,17,216,116,15.29615068,8.214599437,-1.066151142,0,-7.003182122,0
49,1644.4,17,616,588,43.62235563,41.63952129,-0.354431286,-0.354431286,7.074476762,7.074476762,14,95,66,6.727473677,4.673823818,7.413373853,8.473840744,148.2674771,155.3137124,,,,,,,,,,17,216,116,15.29615068,8.214599437,-0.354431286,0,7.074476762,0
50,1680.3,17,617,588,43.69317115,41.63952129,0,0,0,14.16310248,14,99,70,7.010735727,4.957085867,11.68455954,13.45494735,177.038781,212.4465372,,,,,,,,,,16,217,116,15.36696619,8.214599437,-0.354077562,-0.354077562,-21.24465372,-7.081551239
51,1712.4,17,617,589,43.69317115,41.7103368,-0.354077562,0,-7.081551239,0,14,106,78,7.506444313,5.523609967,18.41203322,20.89057616,212.4465372,233.6911909,,,,,,,,,,17,214,116,15.15451965,8.214599437,-0.708155124,-0.354077562,14.16310248,-7.081551239
52,1744.6,17,616,588,43.62235563,41.63952129,0.346083786,0.346083786,6.907860007,6.907860007,14,116,89,8.214599437,6.302580603,25.1225425,28.25677371,205.2089431,239.5552091,,,,,,,,,,16,216,116,15.29615068,8.214599437,-0.346083786,0,-6.907860007,0
53,1780.3,17,617,589,43.69317115,41.7103368,-0.355142279,0.35372313,-7.10284557,-7.088639879,14,128,104,9.064385586,7.364813289,32.27679204,36.88654591,234.8058689,256.185434,,,,,,,,,,16,215,115,15.22533516,8.143783925,-0.352303981,0.001419149,21.28012533,14.19148545
54,1812.4,17,616,589,43.62235563,41.7103368,-0.361699584,0,6.929110802,0,13,147,124,10.40988032,8.781123537,38.05946053,43.51835207,180.502009,218.8643274,,,,,,,,,,17,214,115,15.15451965,8.143783925,0.663707931,-0.029845618,13.27415862,13.56619011
55,1846.2,17,617,589,43.69317115,41.7103368,0.342571081,0.342571081,-6.977007755,-6.977007755,13,167,147,11.82619057,10.40988032,47.1741143,53.97255471,228.8771159,266.6609522,,,,,,,,,,16,215,116,15.22533516,8.214599437,0.024132489,0,14.19558197,0
56,1880.1,17,616,589,43.62235563,41.7103368,-0.355319583,-0.353192987,7.099292371,-7.07801577,13,190,174,13.45494735,12.32189916,54.17037597,61.95763445,203.9433081,246.2411899,,,,,,,,,,17,216,116,15.29615068,8.214599437,0.002126596,0.355319583,-14.17730814,-7.099292371
57,1916.8,17,616,589,43.62235563,41.7103368,0,-0.385477753,0,-7.384631276,13,217,205,15.36696619,14.51718004,61.26877199,71.00685837,264.1208159,307.7354102,,,,,,,,,,16,216,116,15.29615068,8.214599437,0.649171335,0.324585668,-13.55263748,-6.776318738
58,1944.4,17,617,589,43.69317115,41.7103368,-0.346677999,0,-7.06065171,0,13,248,240,17.56224707,16.99572297,67.37547804,78.34570463,182.5559541,229.7372133,,,,,,,,,,17,216,116,15.29615068,8.214599437,0.018600719,0,-14.30824532,0
59,1980.2,17,616,588,43.62235563,41.63952129,0.3531944,-0.000706036,7.05683116,14.1207121,12,281,279,19.89915898,19.75752796,73.88187874,85.90037283,189.8929112,232.1352012,,,,,,,,,,17,215,116,15.22533516,8.214599437,-0.353900435,-0.3531944,7.063880941,-7.05683116
60,2012.6,17,616,588,43.62235563,41.63952129,0,-0.654350843,0,1.77141436,12,317,321,22.44851743,22.73177948,81.51134659,95.37735352,158.4799065,201.0431942,,,,,,,,,,17,216,116,15.29615068,8.214599437,-0.22642623,0,-4.727061162,0
61,2045.2,17,616,589,43.62235563,41.7103368,-0.182597162,0,10.31622386,0,11,357,368,25.28113792,26.06010856,83.81198785,99.00165071,143.5652724,180.1029868,,,,,,,,,,17,215,116,15.22533516,8.214599437,-0.403735215,-0.221138052,5.928564094,-4.38765977
62,2080.4,17,617,589,43.69317115,41.7103368,0.40831976,0.40831976,-5.956524573,-5.956524573,11,399,417,28.25538944,29.53006867,89.40313133,105.6393244,119.9125297,161.8558472,,,,,,,,,,16,215,115,15.22533516,8.143783925,0,-0.190217116,0,10.30987076
63,2144.3,17,616,587,43.62235563,41.56870577,0,0.168333806,0,10.72189845,11,488,523,34.55797005,37.03651298,101.8749809,121.1052948,150.7628324,189.6620649,,,,,,,,,,16,215,116,15.22533516,8.214599437,-0.633261665,-0.400797735,-1.451153497,-6.086525973
