frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,123.9,,,,,,,,,,,,,,,,,,,60,670,470,47.44639330221764,33.28329082394372,,,,,,,,,,,,,
1,123.9,,,,,,,,,,,,,,,,,,,27,306,225,21.669546791759103,15.933490288058165,,,,,,,,,,,,,
2,225.2,,,,,,,,,,,,,,,,,,,66,51,749,,,,,,,,,,,,,,,
3,259.3,,,,,,,,,,,,,,,,,,,43,809,571,57.289749524618024,40.43565757547205,,,,,,,,,,,,,
4,259.3,,,,,,,,,,,,,,,,,,,67,348,106,24.643798312196626,7.506444313485179,,,,,,,,,,,,,
5,290.6,9,201,3,14.233917990665294,0.21244653717410886,,,,,,,,,,,,,,,,,,,,,,,24,568,413,40.22321103829794,29.246806617635652,,,,
6,290.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,568,413,40.22321103829794,29.246806617635652,,,,
7,300.3,9,202,3,14.304733503056664,0.21244653717410886,,,,,,,,,,,,,,,,,,,,,,,25,568,413,40.22321103829794,29.246806617635652,,,,
8,313.1,9,201,4,14.233917990665294,0.28326204956547846,-0.29580414532735944,1.4316920633844148,-26.2937018068764,-152.5034704798826,,,,,,,,,,,,,,,,,,,25,568,413,40.22321103829794,29.246806617635652,0.0,0.0,0.0,0.0
9,322.4,8,201,3,14.233917990665294,0.21244653717410886,,,,,,,,,,,,,,,,,,,,,,,22,569,412,40.29402655068931,29.175991105244282,1.6272795997889085,-1.4063291812711491,-37.71215758491097,51.608410321876974
10,344.0,9,201,2,14.233917990665294,0.14163102478273923,-1.4835709786841482,-1.2188160838667725,6.266420856654853,18.383349681248454,,,,,,,,,,,,,,,,,,,23,569,413,40.29402655068931,29.246806617635652,1.2188160838667768,0.0,-18.38334968124851,0.0
11,376.1,9,200,1,14.163102478273924,0.07081551239136961,-0.587980715216185,-2.110151549367156,17.01825514373908,40.06399070999145,,,,,,,,,,,,,,,,,,,23,568,413,40.22321103829794,29.246806617635652,0.0,0.0,0.0,0.0
12,408.7,9,200,2,14.163102478273924,0.14163102478273923,-0.297564031419395,-0.5011532803137373,12.120734477368432,7.402559531960669,,,,,,,,,,,,,,,,,,,23,569,413,40.29402655068931,29.246806617635652,-0.20358924889434393,0.501153280313739,-4.718174945407738,-7.4025595319606925
13,476.6,8,199,2,14.092286965882554,0.14163102478273923,-0.05213178860475405,0.0,15.323913835342037,0.0,,,,,,,,,,,,,,,,,,,23,569,413,40.29402655068931,29.246806617635652,-0.4060227535073819,0.0,-6.124023431483887,0.0
14,508.2,9,201,2,14.233917990665294,0.14163102478273923,0.23083575947877305,0.23083575947877225,-4.621336526101561,-4.621336526101545,,,,,,,,,,,,,,,,,,,23,568,413,40.22321103829794,29.246806617635652,0.403624710352592,-0.403624710352592,6.110896447427586,-6.110896447427586
15,544.1,9,201,2,14.233917990665294,0.14163102478273923,-0.5911828470742665,0.0,-16.457792315697404,0.0,,,,,,,,,,,,,,,,,,,23,568,413,40.22321103829794,29.246806617635652,-0.22230687999624046,0.0,4.441695904020788,0.0
16,576.2,9,200,2,14.163102478273924,0.14163102478273923,0.3570985087442558,0.0,-7.106437984960314,0.0,,,,,,,,,,,,,,,,,,,23,568,413,40.22321103829794,29.246806617635652,-0.3570985087442558,-0.35073135244220865,7.106437984960314,-7.042798241811417
17,608.1,9,201,2,14.233917990665294,0.14163102478273923,-0.22127826436955378,0.0,-4.429995282673748,0.0,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.4082888079721862,-0.4082888079721862,-6.017521119707979,6.017521119707979
18,644.2,8,199,2,14.092286965882554,0.14163102478273923,-0.5759867532410236,-0.23000479535281554,16.76141057410386,-4.59550040664966,,,,,,,,,,,,,,,,,,,23,568,413,40.22321103829794,29.246806617635652,0.0,-0.23000479535281632,0.0,-4.595500406649676
19,676.7,8,200,2,14.163102478273924,0.14163102478273923,-0.119112005349823,-0.1191120053498226,-2.3703881661656316,-2.3703881661656236,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0,-0.46842278333482706,0.0,4.700680214097614
20,743.8,8,200,2,14.163102478273924,0.14163102478273923,-0.28603755221981375,-0.19441200823293456,3.475547414578538,-2.8653206813991847,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,-0.1944120082329352,0.0,-2.865320681399194,0.0
21,776.7,10,200,1,14.163102478273924,0.07081551239136961,0.4835448568093845,-0.11592530018124181,-0.7684806110788348,6.317455050748886,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.18380977831407116,-0.1159253001812422,2.774487219835036,6.317455050748906
22,876.0,8,199,1,14.092286965882554,0.07081551239136961,0.3472136590442508,0.3472136590442496,7.050023533893419,7.050023533893394,,,,,,,,,,,,,,,,,,,22,568,412,40.22321103829794,29.175991105244282,0.0,-0.9331235897293505,0.0,-9.364009932055703
23,908.4,9,200,1,14.163102478273924,0.07081551239136961,0.0,0.2758091125629829,0.0,8.578821541616893,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,-0.16289867271159886,0.0,3.24822876792819,0.0
24,945.9,9,201,2,14.233917990665294,0.14163102478273923,-0.3004078149830094,0.6084043978410081,-8.49809943374852,2.244361710743433,,,,,,,,,,,,,,,,,,,23,569,413,40.29402655068931,29.246806617635652,0.1539982914290003,-0.3004078149830094,-3.1268688615025404,-8.49809943374852
25,976.8,8,200,2,14.163102478273924,0.14163102478273923,0.348634233501455,-0.010612308839161323,-7.021837532758413,-14.149745118881711,,,,,,,,,,,,,,,,,,,22,568,410,40.22321103829794,29.034360080461543,0.0,0.021224617678322757,0.0,28.299490237763514
26,1008.7,9,200,2,14.163102478273924,0.14163102478273923,0.0,0.3516050189242717,0.0,-7.067437566317018,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.3572816984247764,0.0,7.124261184940701,0.0
27,1044.4,9,200,3,14.163102478273924,0.21244653717410886,-0.010784088181426121,0.01078408818142601,14.37878424190249,-14.378784241902446,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,-0.3514019128740521,-0.3621860010554782,-7.135064220792927,7.243720021109563
28,1076.1,9,200,1,14.163102478273924,0.07081551239136961,0.0,-0.35818217959880766,0.0,7.149344902171808,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0,0.7163643591976178,0.0,-14.298689804343663
29,1108.2,9,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.44678472720023077,0.0,-5.325205330157699,0.0
30,1144.4,9,201,2,14.233917990665294,0.14163102478273923,0.27635321908827265,-0.4399145466736598,-8.63603809650852,5.364811544800729,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,-0.27635321908827265,-0.16356132758538863,8.63603809650852,-3.2712265517077723
31,1176.3,9,200,1,14.163102478273924,0.07081551239136961,0.0,0.15271528948234908,0.0,3.04820937090517,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0,0.0,0.0,0.0
32,1276.0,8,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,-0.4406904344943882,0.0,-5.252567753210826,0.0
33,1308.4,8,200,2,14.163102478273924,0.14163102478273923,-0.16366289539199208,0.0,3.2699879199199247,0.0,,,,,,,,,,,,,,,,,,,22,569,411,40.29402655068931,29.105175592852913,-0.2756457714120359,0.2756457714120359,-8.627410685822705,8.627410685822705
34,1347.5,8,200,2,14.163102478273924,0.14163102478273923,0.0,-0.31566295635343783,0.0,-8.519917850295203,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.46536343838642796,0.0,5.436488766196587,0.0
35,1376.5,9,200,2,14.163102478273924,0.14163102478273923,-0.3560270313634095,0.0,-7.085115052008149,0.0,,,,,,,,,,,,,,,,,,,22,568,412,40.22321103829794,29.175991105244282,-0.3510847229980258,0.0,7.035765991944407,0.0
36,1408.5,9,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,568,412,40.22321103829794,29.175991105244282,-0.3530156822866615,-0.35869229353029025,7.081558320695314,-21.3014978974576
37,1444.6,9,200,1,14.163102478273924,0.07081551239136961,0.0,0.33143207504542416,0.0,21.848342801868068,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.019018986125995976,0.0,-14.629989327688502,0.0
38,1476.3,8,199,2,14.092286965882554,0.14163102478273923,-0.011196438224199962,0.0,13.995547780248828,0.0,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0,0.0,0.0,0.0
39,1508.2,8,200,2,14.163102478273924,0.14163102478273923,0.0,-0.3535456477425914,0.0,-7.092189523422093,,,,,,,,,,,,,,,,,,,22,568,410,40.22321103829794,29.034360080461543,0.0,-0.004261715891155299,0.0,28.411439274371038
40,1544.3,9,200,3,14.163102478273924,0.21244653717410886,0.0,0.3542516572150446,0.0,-21.390577863661036,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0007131385360026059,0.0,14.262770720065765,0.0
41,1577.7,8,200,2,14.163102478273924,0.14163102478273923,0.3443002722775668,0.0,-6.98377834234416,0.0,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,0.0,-0.36413250286434656,0.0,-7.182100648211959
42,1608.2,8,200,1,14.163102478273924,0.07081551239136961,0.0,-0.003523159820466113,0.0,14.092639281864596,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,-0.3514373885751782,0.3584837082161104,-7.028747771503563,-21.156530792225723
43,1643.9,9,200,2,14.163102478273924,0.14163102478273923,0.0,-0.3565671264444774,0.0,7.117108312265031,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.004257479762843787,-1.0569289400449042,-14.191599209486625,-21.223472691664718
44,1676.3,8,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,568,411,40.22321103829794,29.105175592852913,0.0,-0.7132180347432541,0.0,0.10125821659111217
45,1708.7,9,200,2,14.163102478273924,0.14163102478273923,-0.35709850874425636,-0.006367156302047959,-7.1064379849603245,-14.149236226771698,,,,,,,,,,,,,,,,,,,23,567,411,40.15239552590657,29.105175592852913,-0.3507313524422084,-1.0649283699307213,7.04279824181142,-7.170077728109229
46,1744.1,8,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,568,409,40.22321103829794,28.963544568070173,-0.706741640632434,-1.0601124609486534,1.5519209671094994e-14,21.15992936025256
47,1776.3,8,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,568,410,40.22321103829794,29.034360080461543,-0.35407756195684925,-0.7081551239136985,-7.081551239136984,0.0
48,1808.3,8,199,1,14.092286965882554,0.07081551239136961,-0.0021351324936807583,-0.0021351324936807583,14.234216624530122,14.234216624530072,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,-0.3581692784961296,0.0,21.36202735530987
49,1844.3,9,200,2,14.163102478273924,0.14163102478273923,-0.23233230428555943,0.0,-4.637371343025137,0.0,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,-0.40137073769422793,0.0,6.09522760355699,0.0
50,1876.3,8,200,2,14.163102478273924,0.14163102478273923,-0.23124187693106665,0.0,-4.624837538621332,0.0,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,-0.4029158463646905,-0.17167396943362384,6.104785550980159,10.72962308960149
51,1908.2,8,200,2,14.163102478273924,0.14163102478273923,0.41019038017755977,0.41019038017755843,-5.979451606086876,-5.979451606086855,,,,,,,,,,,,,,,,,,,23,567,410,40.15239552590657,29.034360080461543,0.0,0.1927159384018194,0.0,-10.333294284279871
52,1976.0,8,199,2,14.092286965882554,0.14163102478273923,0.16974446901369683,0.0,10.743320823651654,0.0,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
53,2008.3,8,199,2,14.092286965882554,0.14163102478273923,0.15983656814893055,0.0,10.550268524681895,0.0,,,,,,,,,,,,,,,,,,,23,567,410,40.15239552590657,29.034360080461543,0.0,-0.5531354101986895,0.0,-16.509341889072182
54,2045.4,8,200,2,14.163102478273924,0.14163102478273923,0.0,-0.41728946418299867,0.0,-6.082936795670532,,,,,,,,,,,,,,,,,,,22,567,409,40.15239552590657,28.963544568070173,0.0,-0.2159551186334389,0.0,4.375990245865031
55,2076.1,9,200,2,14.163102478273924,0.14163102478273923,0.3537238381187308,0.0,-7.067409353021601,0.0,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
56,2110.0,9,200,2,14.163102478273924,0.14163102478273923,0.34224016067215624,0.0,-6.9631772262900435,0.0,,,,,,,,,,,,,,,,,,,22,567,408,40.15239552590657,28.892729055678803,0.0,-0.3181559261153046,0.0,21.130374024438648
57,2144.1,9,200,1,14.163102478273924,0.07081551239136961,0.0,-0.010034718811879532,0.0,14.335312588398391,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
58,2176.2,9,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,567,409,40.15239552590657,28.963544568070173,0.0,-0.3537238381187284,0.0,-7.067409353021552
59,2208.3,8,200,2,14.163102478273924,0.14163102478273923,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.3632889345364882,0.0,-7.265778690729763
60,2244.2,8,200,2,14.163102478273924,0.14163102478273923,0.9946305954027782,1.024417865981203,19.872739168886696,6.333070724150731,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
61,2276.3,9,200,2,14.163102478273924,0.14163102478273923,4.849912965500896,2.4249564827504484,96.9013579520655,48.450678976032755,,,,,,,,,,,,,,,,,,,22,567,408,40.15239552590657,28.892729055678803,0.0,-0.35618025366121975,0.0,7.018330121403344
62,2308.3,9,200,2,14.163102478273924,0.14163102478273923,9.320677589293481,10.652202959192554,186.4135517858696,213.04405918385103,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
63,2348.7,10,203,4,14.375549015448032,0.28326204956547846,15.075892587253229,19.027193317451633,249.62509799571527,338.21765561978094,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.0,-0.24044459623079042,0.0,-4.601810454177807
64,2377.8,16,214,9,15.154519651753098,0.6373396115223265,22.587706538626513,27.912436158092525,252.61181590262643,453.76566930656975,,,,,,,,,,,,,,,,,,,22,567,408,40.15239552590657,28.892729055678803,0.0,0.4748166539651235,0.0,9.355993181578787
65,2443.8,13,242,50,17.137353998711447,3.540775619568481,,,,,,,,,,,,,,,,,,,,,,,22,567,409,40.15239552590657,28.963544568070173,0.0,0.0,0.0,0.0
