frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
42,1878.2,17,563,655,39.86913348,46.38416062,-0.23164861,0,4.62834386,0,11,1,223,0.070815512,15.79185926,6.837542778,9.372970813,103.6776767,109.5590487,,,,,,,,,,16,106,237,7.506444313,16.78327644,-0.402208399,-0.170559789,-6.098686864,-10.72703072
43,1911.3,17,563,654,39.86913348,46.3133451,-0.005938076,-0.005938076,7.917434373,7.917434373,12,2,228,0.141631025,16.14593683,9.168185519,10.78636111,129.8607227,90.14036031,,,,,,,,,,16,105,236,7.435628801,16.71246092,0.261778498,0,3.936518772,0
44,1946.2,16,564,655,39.93994899,46.38416062,0.169149125,0.401060646,-10.70564083,-6.081283487,13,8,235,0.566524099,16.64164541,11.3253884,13.20516684,113.2022392,52.13582538,,,,,,,,,,16,105,236,7.435628801,16.71246092,0,0,0,0
45,1978.3,17,563,655,39.86913348,46.38416062,0.22864861,0,4.568403789,0,13,18,244,1.274679223,17.27898502,14.63608274,15.3360836,52.13730758,9.584063893,,,,,,,,,,17,105,236,7.435628801,16.71246092,-0.175000215,-0.403648824,10.63831092,6.069907132
46,2045.8,17,564,655,39.93994899,46.38416062,-0.171180391,0.226443655,-10.37456918,-4.461943948,13,36,260,2.549358446,18.41203322,16.84443736,15.59630195,-15.7157139,-18.61707647,,,,,,,,,,16,106,236,7.506444313,16.71246092,0.226443655,0,-4.461943948,0
47,2078.1,17,563,655,39.86913348,46.38416062,0.169853753,0,10.7163251,0,12,43,266,3.045067033,18.8369263,17.75151728,16.02112904,-15.76283236,-9.437384107,,,,,,,,,,16,105,236,7.435628801,16.71246092,0,0,0,0
48,2111.3,17,564,655,39.93994899,46.38416062,-0.181418591,0,-10.73482785,0,12,52,274,3.682406644,19.4034504,17.54736967,15.81970592,-8.358556745,-2.311547772,,,,,,,,,,16,106,236,7.506444313,16.71246092,-0.181418591,0,-10.73482785,0
49,2147.3,17,563,655,39.86913348,46.38416062,-0.344495202,0,6.959499025,0,12,59,281,4.178115231,19.89915898,18.06257129,15.56301274,39.71835302,17.96113132,,,,,,,,,,17,106,236,7.506444313,16.71246092,0,0,0,0
50,2178.3,17,564,655,39.93994899,46.38416062,-0.002122347,0,-14.14898179,0,12,67,288,4.74463933,20.39486757,19.82701274,17.3465138,57.18988743,35.89216971,,,,,,,,,,16,105,236,7.435628801,16.71246092,0.354963376,0,7.08509733,0
51,2210.5,17,563,655,39.86913348,46.38416062,-0.710321711,-0.35159865,0.071458492,-7.088682454,12,76,296,5.381978942,20.96139167,20.56370756,18.43986684,69.17182072,55.13737279,,,,,,,,,,17,105,236,7.435628801,16.71246092,-0.358723061,0,7.160140946,0
