frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
171,6112.7,9,363,146,32.6268855,13.12265918,11.9422706,40.68069427,10.73875374,6.677231259,9,829,830,74.5115374,74.60141863,-25.00594521,-22.06641087,0.772572212,-4.475400455,,,,,,,,,
172,6145,9,368,161,33.07629163,14.47087759,12.55249767,40.79964202,1.124074629,12.59677283,9,819,822,73.61272513,73.88236881,-25.54927424,-22.86750249,6.655235504,-10.99095193,,,,,,,,,
173,6177.6,8,373,177,33.52569777,15.90897723,13.26876195,41.15293364,-11.77240589,-7.665312516,9,810,813,72.80379409,73.07343777,-26.05515242,-22.86274091,-4.447773929,4.258506953,,,,,,,,,
174,6213.5,8,377,192,33.88522268,17.25719564,13.00597887,40.7915103,10.36656918,-4.478500626,9,801,805,71.99486304,72.35438795,-25.55872635,-22.86885189,-11.74045184,-11.44604841,,,,,,,,,
175,6244.8,8,382,207,34.33462882,18.60541404,12.608589,40.97791423,-7.26E-13,-9.024183363,9,791,796,71.09605077,71.5454569,-25.66748474,-23.41595099,-9.024183363,0,,,,,,,,,
176,6276.8,8,387,222,34.78403495,19.95363245,12.64056545,40.63038895,-0.89284618,-2.869862721,9,781,788,70.19723849,70.82640709,-26.18402844,-23.02071269,1.849467087,-7.443421723,,,,,,,,,
177,6313.2,8,392,237,35.23344109,21.30185086,13.10274831,40.6707526,-8.425356709,2.056079457,9,772,779,69.38830745,70.01747604,-26.21004057,-23.49865706,-1.325028984,-1.18795702,,,,,,,,,
178,6344.6,7,396,252,35.592966,22.65006927,13.06589978,40.54794245,9.164544879,0.407514347,9,762,770,68.48949518,69.20854499,-26.13089625,-23.42770008,-0.262620357,-0.235452734,,,,,,,,,
179,6376.7,8,401,267,36.04237213,23.99828768,12.60228155,40.50733355,0.126401705,0.406291193,9,752,762,67.5906829,68.48949518,-26.10472607,-23.85476941,-0.261832102,-9.254410516,,,,,,,,,
180,6412.4,7,406,282,36.49177827,25.34650609,12.62808333,40.59026785,-1.144501816,-3.678755838,9,743,753,66.78175186,67.68056413,-26.15817262,-23.89908454,2.370753762,-6.885177593,,,,,,,,,
181,6444.3,8,411,297,36.94118441,26.6947245,13.04772959,40.48736386,-9.52904235,-1.622731904,9,733,744,65.88293959,66.87163309,-26.09185671,-23.84075748,1.045760561,-8.050553281,,,,,,,,,
