frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
1,108.4,,,,,,,,,,,,,,,,,,,32,1069,452,,,,,,,,,,,,,,,
2,201.4,,,,,,,,,,,,,,,,,,,11,274,516,,,,,,,,,,,,,,,
3,239.7,,,,,,,,,,,,,,,,,,,11,24,703,,,,,,,,,,,,,,,
4,251.4,8,696,216,,,,,,,15,489,430,,,,,,,,,,,,,,,,15,689,643,,,,,,
5,263.2,9,695,217,,,,,,,15,491,431,,,,,,,,,,,,,,,,13,690,644,,,,,,
6,273,8,700,217,,,,,,,15,493,430,,,,,,,,,,,,,,,,13,689,644,,,,,,
7,283.5,9,701,217,,,,,,,15,493,428,,,,,,,,,,,,,,,,14,688,644,,,,,,
8,283.5,9,703,217,,,,,,,14,494,427,,,,,,,,,,,,,,,,14,688,644,,,,,,
9,292.8,5,705,215,,,,,,,15,494,427,,,,,,,,,,,,,,,,14,689,644,,,,,,
10,314,6,705,216,,,,,,,15,493,427,,,,,,,,,,,,,,,,14,689,644,,,,,,
11,346.4,6,705,216,,,,,,,15,493,427,,,,,,,,,,,,,,,,14,689,644,,,,,,
12,398.8,,,,,,,,,,15,493,426,,,,,,,,,,,,,,,,14,688,644,,,,,,
13,416.3,,,,,,,,,,15,494,427,,,,,,,,,,,,,,,,14,688,645,,,,,,
14,446.3,,,,,,,,,,15,494,426,,,,,,,,,,,,,,,,14,688,645,,,,,,
15,482.2,,,,,,,,,,14,495,426,,,,,,,,,,,,,,,,14,688,645,,,,,,
16,514.7,6,711,218,,,,,,,15,496,425,,,,,,,,,,,,,,,,14,688,645,,,,,,
17,547.4,6,712,218,,,,,,,15,497,424,,,,,,,,,,,,,,,,14,688,646,,,,,,
18,582.7,6,715,219,,,,,,,15,499,425,,,,,,,,,,,,,,,,14,689,646,,,,,,
19,614.2,6,717,220,,,,,,,15,500,424,,,,,,,,,,,,,,,,14,689,647,,,,,,
20,646.4,6,718,219,,,,,,,15,500,423,,,,,,,,,,,,,,,,14,688,647,,,,,,
21,682.1,5,721,220,,,,,,,15,500,422,,,,,,,,,,,,,,,,14,688,647,,,,,,
22,714.7,,,,,,,,,,15,502,421,,,,,,,,,,,,,,,,14,688,646,,,,,,
23,747,,,,,,,,,,15,503,419,,,,,,,,,,,,,,,,14,688,646,,,,,,
24,782.9,,,,,,,,,,15,504,418,,,,,,,,,,,,,,,,14,687,646,,,,,,
25,818.9,,,,,,,,,,15,505,418,,,,,,,,,,,,,,,,14,687,646,,,,,,
26,854.3,,,,,,,,,,15,505,417,,,,,,,,,,,,,,,,14,687,646,,,,,,
27,882.2,,,,,,,,,,15,505,417,,,,,,,,,,,,,,,,14,687,646,,,,,,
28,914,,,,,,,,,,15,505,417,,,,,,,,,,,,,,,,14,687,646,,,,,,
29,950.9,,,,,,,,,,15,505,417,,,,,,,,,,,,,,,,14,687,646,,,,,,
30,982,,,,,,,,,,15,504,416,,,,,,,,,,,,,,,,14,686,646,,,,,,
31,1014.7,,,,,,,,,,15,504,417,,,,,,,,,,,,,,,,14,686,646,,,,,,
32,1046.2,,,,,,,,,,15,504,416,,,,,,,,,,,,,,,,14,686,645,,,,,,
33,1082.2,6,729,219,,,,,,,15,504,416,,,,,,,,,,,,,,,,14,686,645,,,,,,
34,1114.3,9,728,222,,,,,,,15,504,416,,,,,,,,,,,,,,,,14,685,645,,,,,,
35,1146.3,9,733,222,,,,,,,14,504,415,,,,,,,,,,,,,,,,14,684,646,,,,,,
36,1183,9,739,224,,,,,,,14,507,412,,,,,,,,,,,,,,,,14,683,646,,,,,,
37,1214.2,7,744,225,,,,,,,15,509,409,,,,,,,,,,,,,,,,14,681,646,,,,,,
38,1246.2,8,749,226,,,,,,,15,511,405,,,,,,,,,,,,,,,,14,678,645,,,,,,
39,1282.2,7,753,225,,,,,,,15,512,399,,,,,,,,,,,,,,,,14,675,644,,,,,,
40,1314.1,6,756,225,,,,,,,15,514,396,,,,,,,,,,,,,,,,14,671,642,,,,,,
41,1349.2,7,759,228,,,,,,,15,512,392,,,,,,,,,,,,,,,,14,667,642,,,,,,
42,1382,7,760,228,,,,,,,15,512,389,,,,,,,,,,,,,,,,14,663,641,,,,,,
43,1414,7,760,228,,,,,,,15,511,387,,,,,,,,,,,,,,,,14,659,640,,,,,,
44,1446.4,7,760,230,,,,,,,15,509,385,,,,,,,,,,,,,,,,14,654,640,,,,,,
45,1484.6,6,759,232,,,,,,,15,508,385,,,,,,,,,,,,,,,,14,650,641,,,,,,
46,1514.1,6,758,236,,,,,,,15,506,386,,,,,,,,,,,,,,,,14,646,642,,,,,,
47,1546.3,7,756,239,,,,,,,15,504,388,,,,,,,,,,,,,,,,14,642,645,,,,,,
48,1581.8,5,756,243,,,,,,,15,502,390,,,,,,,,,,,,,,,,14,639,648,,,,,,
49,1614.8,5,755,248,,,,,,,15,500,394,,,,,,,,,,,,,,,,14,636,652,,,,,,
50,1646.5,6,752,253,,,,,,,14,498,398,,,,,,,,,,,,,,,,14,634,656,,,,,,
51,1682.4,6,749,257,,,,,,,15,496,403,,,,,,,,,,,,,,,,14,631,660,,,,,,
52,1717.2,6,747,260,,,,,,,15,494,406,,,,,,,,,,,,,,,,14,629,664,,,,,,
53,1746.2,6,744,262,,,,,,,15,491,408,,,,,,,,,,,,,,,,14,627,667,,,,,,
54,1783,5,742,265,,,,,,,15,489,409,,,,,,,,,,,,,,,,14,623,668,,,,,,
55,1814.1,5,741,267,,,,,,,15,487,411,,,,,,,,,,,,,,,,14,622,670,,,,,,
56,1846.2,5,738,267,,,,,,,15,486,413,,,,,,,,,,,,,,,,14,620,671,,,,,,
57,1882.1,5,734,268,,,,,,,15,485,417,,,,,,,,,,,,,,,,13,621,673,,,,,,
58,1914,5,728,268,,,,,,,14,481,422,,,,,,,,,,,,,,,,13,624,675,,,,,,
59,1946.3,6,717,266,,,,,,,15,477,431,,,,,,,,,,,,,,,,13,631,678,,,,,,
60,1982.5,8,702,262,,,,,,,14,474,445,,,,,,,,,,,,,,,,13,643,680,,,,,,
61,2014.2,12,675,259,,,,,,,14,472,469,,,,,,,,,,,,,,,,14,667,679,,,,,,
62,2046.5,12,625,254,,,,,,,15,477,503,,,,,,,,,,,,,,,,15,715,666,,,,,,
63,2090.1,12,570,261,,,,,,,15,500,541,,,,,,,,,,,,,,,,16,779,628,,,,,,
64,2114.4,12,526,285,,,,,,,15,540,573,,,,,,,,,,,,,,,,16,835,570,,,,,,
65,2146.4,12,497,321,,,,,,,15,594,591,,,,,,,,,,,,,,,,15,879,495,,,,,,
66,2182.2,12,486,364,,,,,,,15,658,592,,,,,,,,,,,,,,,,16,903,411,,,,,,
67,2214.4,12,492,408,,,,,,,16,726,574,,,,,,,,,,,,,,,,17,906,323,,,,,,
68,2246.1,13,517,448,,,,,,,17,793,537,,,,,,,,,,,,,,,,16,887,241,,,,,,
69,2283,12,557,480,,,,,,,17,851,479,,,,,,,,,,,,,,,,14,851,170,,,,,,
70,2314,12,611,500,,,,,,,17,897,407,,,,,,,,,,,,,,,,15,799,118,,,,,,
71,2346.2,12,675,503,,,,,,,16,925,325,,,,,,,,,,,,,,,,,,,,,,,,
72,2385.4,11,744,487,,,,,,,16,931,237,,,,,,,,,,,,,,,,14,682,63,,,,,,
73,2414.1,11,813,450,,,,,,,16,915,154,,,,,,,,,,,,,,,,10,624,70,,,,,,
74,2446.5,11,876,395,,,,,,,14,882,83,,,,,,,,,,,,,,,,15,584,90,,,,,,
75,2482.9,11,924,322,,,,,,,,,,,,,,,,,,,,,,,,,15,553,123,,,,,,
76,2514,11,954,238,,,,,,,,,,,,,,,,,,,,,,,,,15,539,164,,,,,,
77,2546.1,11,967,166,,,,,,,,,,,,,,,,,,,,,,,,,14,545,202,,,,,,
78,2585.5,12,976,141,,,,,,,,,,,,,,,,,,,,,,,,,14,560,221,,,,,,
79,2614.6,12,974,152,,,,,,,,,,,,,,,,,,,,,,,,,15,558,235,,,,,,
80,2646.3,12,970,168,,,,,,,14,728,3,,,,,,,,,,,,,,,,14,554,246,,,,,,
81,2685.5,11,965,192,,,,,,,16,728,14,,,,,,,,,,,,,,,,14,547,255,,,,,,
82,2714.4,12,961,221,,,,,,,15,735,32,,,,,,,,,,,,,,,,14,541,263,,,,,,
83,2746.4,11,958,251,,,,,,,14,739,55,,,,,,,,,,,,,,,,15,537,275,,,,,,
84,2782.7,12,959,284,,,,,,,14,746,83,,,,,,,,,,,,,,,,14,538,298,,,,,,
85,2814.4,12,963,324,,,,,,,15,754,120,,,,,,,,,,,,,,,,14,542,329,,,,,,
86,2846.4,12,964,358,,,,,,,13,765,137,,,,,,,,,,,,,,,,14,543,342,,,,,,
87,2882,12,963,386,,,,,,,,,,,,,,,,,,,,,,,,,14,545,342,,,,,,
88,2913.9,12,960,409,,,,,,,,,,,,,,,,,,,,,,,,,14,546,342,,,,,,
89,2946.2,12,955,433,,,,,,,,,,,,,,,,,,,,,,,,,15,545,347,,,,,,
90,2983.8,13,950,460,,,,,,,,,,,,,,,,,,,,,,,,,15,546,349,,,,,,
91,3014.2,12,946,479,,,,,,,,,,,,,,,,,,,,,,,,,15,548,349,,,,,,
92,3046.5,12,943,490,,,,,,,,,,,,,,,,,,,,,,,,,15,549,351,,,,,,
93,3082,12,941,491,,,,,,,,,,,,,,,,,,,,,,,,,14,546,353,,,,,,
94,3114.6,13,938,494,,,,,,,,,,,,,,,,,,,,,,,,,15,540,363,,,,,,
95,3146.3,13,936,494,,,,,,,,,,,,,,,,,,,,,,,,,15,533,377,,,,,,
96,3183.5,13,933,490,,,,,,,,,,,,,,,,,,,,,,,,,14,525,395,,,,,,
97,3217,14,930,479,,,,,,,,,,,,,,,,,,,,,,,,,14,514,418,,,,,,
98,3254.9,12,921,454,,,,,,,,,,,,,,,,,,,,,,,,,15,502,447,,,,,,
99,3283.3,12,911,417,,,,,,,14,665,245,,,,,,,,,,,,,,,,15,496,477,,,,,,
100,3314,13,896,377,,,,,,,16,625,248,,,,,,,,,,,,,,,,14,497,510,,,,,,
101,3346.6,12,873,338,,,,,,,16,584,261,,,,,,,,,,,,,,,,15,504,541,,,,,,
