frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
1,142.1,,,,,,,,,,,,,,,,,,,30,289,97,,,,,,,,,,,,,,,
2,246,,,,,,,,,,,,,,,,,,,26,39,445,,,,,,,,,,,,,,,
3,268.8,,,,,,,,,,,,,,,,,,,19,678,394,,,,,,,,,,,,,,,
4,289.8,16,334,303,,,,,,,,,,,,,,,,14,640,216,,,,,,,,,,,,,,,
5,301.4,,,,,,,,,,,,,,,,,,,28,1070,821,,,,,,,,,,,,,,,
6,313.4,13,599,231,,,,,,,14,320,331,,,,,,,,,,,,,,,,14,427,609,,,,,,
7,327.6,15,586,238,,,,,,,,,,,,,,,,,,,,,,,,,14,430,623,,,,,,
8,338.5,15,569,245,,,,,,,12,302,371,,,,,,,,,,,,,,,,14,433,637,,,,,,
9,350.8,15,555,253,,,,,,,13,292,390,,,,,,,,,,,,,,,,15,437,650,,,,,,
10,360,13,542,262,,,,,,,14,287,412,,,,,,,,,,,,,,,,14,443,665,,,,,,
11,399.8,13,535,269,,,,,,,13,283,426,,,,,,,,,,,,,,,,14,447,675,,,,,,
12,418.5,14,534,273,,,,,,,14,283,432,,,,,,,,,,,,,,,,14,449,680,,,,,,
13,418.5,13,537,273,,,,,,,13,283,429,,,,,,,,,,,,,,,,14,448,680,,,,,,
14,448,14,541,273,,,,,,,13,284,425,,,,,,,,,,,,,,,,14,444,679,,,,,,
15,484,14,543,272,,,,,,,13,285,422,,,,,,,,,,,,,,,,14,441,677,,,,,,
16,516.1,14,546,273,,,,,,,13,284,417,,,,,,,,,,,,,,,,14,438,676,,,,,,
